name,description,price,stock,category
Standard Conga Audio-Technica,O Standard Conga Audio-Technica oferece projeção poderosa e tons bem definidos. Hardware resistente para performances intensas.,3699.0,29,percussão
Taylor Compacto Workstation,Taylor Compacto Workstation - Uma seleção de vozes premium e acompanimentos automáticos para inspirar sua criatividade musical.,8070.0,48,teclas
Sennheiser Palheta Deluxe,"Sennheiser Palheta Deluxe - Acessório essencial para músicos, oferecendo confiabilidade e desempenho superior em todas as situações.",600.0,21,acessórios
Sabian Vibrafone Limited,Sabian Vibrafone Limited - Conjunto de percussão com excelente resposta e durabilidade. Perfect para estúdio e palco.,6079.0,18,percussão
Korg Controlador MIDI Analógico,Desfrute da versatilidade do Korg Controlador MIDI Analógico. Interface intuitiva e conectividade completa para integração com DAWs.,9769.0,28,teclas
Elétrico Tambor Behringer,O Elétrico Tambor Behringer oferece projeção poderosa e tons bem definidos. Hardware resistente para performances intensas.,810.0,25,percussão
Fender Case Vintage,Melhore sua experiência musical com o Fender Case Vintage. Design funcional e materiais premium para resultados profissionais.,70.0,32,acessórios
Taylor Elétrico Flauta,O Taylor Elétrico Flauta proporciona resposta precisa e entonação perfeita. Construído com materiais de alta qualidade para durabilidade.,7109.0,24,sopro
Estúdio Tuba Nord,O Estúdio Tuba Nord proporciona resposta precisa e entonação perfeita. Construído com materiais de alta qualidade para durabilidade.,4360.0,2,sopro
Tambor Martin Custom,Experimente a qualidade do Tambor Martin Custom. Acabamento premium e sonoridade excepcional para todas as aplicações.,4009.0,25,percussão
Taylor Deluxe Gaita,O Taylor Deluxe Gaita proporciona resposta precisa e entonação perfeita. Construído com materiais de alta qualidade para durabilidade.,7160.0,35,sopro
Sabian Baqueta Elétrico,O Sabian Baqueta Elétrico é fabricado com materiais de alta qualidade para durabilidade e desempenho excepcional.,59.0,23,acessórios
Korg Monitor de Áudio Acústico,Desfrute da qualidade de áudio do Korg Monitor de Áudio Acústico. Design inovador e tecnologia de ponta para resultados superiores.,6170.0,3,áudio
Sennheiser Limited Banjo,Sennheiser Limited Banjo - Perfeito para performances ao vivo e gravações em estúdio. Construção robusta e acabamento impecável.,819.0,0,cordas
Mapex Clássico Caixa de Som,Mapex Clássico Caixa de Som - Equipamento de áudio profissional com recursos avançados e construção robusta para uso intensivo.,5490.0,1,áudio
Gibson Atabaque Limited,O Gibson Atabaque Limited oferece projeção poderosa e tons bem definidos. Hardware resistente para performances intensas.,5890.0,0,percussão
Bateria Kawai Vintage,Experimente a qualidade do Bateria Kawai Vintage. Acabamento premium e sonoridade excepcional para todas as aplicações.,6470.0,19,percussão
Bongô Tama Acústico,Bongô Tama Acústico - Conjunto de percussão com excelente resposta e durabilidade. Perfect para estúdio e palco.,1130.0,20,percussão
Martin Estúdio Banjo,Este Martin Estúdio Banjo oferece um timbre excepcional e ótima sustain. Ideal para músicos que buscam qualidade sonora e durabilidade.,4030.0,1,cordas
Martin Violoncelo Clássico,Experimente a excelência do Martin Violoncelo Clássico. Design ergonômico e resposta tonal equilibrada para todos os estilos musicais.,1040.0,31,cordas
Nord Profissional Ukulele,Nord Profissional Ukulele - Perfeito para performances ao vivo e gravações em estúdio. Construção robusta e acabamento impecável.,1180.0,21,cordas
Behringer Moderno Case,Melhore sua experiência musical com o Behringer Moderno Case. Design funcional e materiais premium para resultados profissionais.,759.0,0,acessórios
Tube Sintetizador Sabian,O Tube Sintetizador Sabian conta com sons realistas e recursos avançados para composição e performance. Teclado sensível ao toque.,4810.0,9,teclas
Martin Acústico Trompa,Descubra o som característico do Martin Acústico Trompa. Design ergonômico que facilita a execução e proporciona conforto.,7579.0,48,sopro
Oboé Korg Limited,O Oboé Korg Limited proporciona resposta precisa e entonação perfeita. Construído com materiais de alta qualidade para durabilidade.,3189.0,17,sopro
Piano Digital Taylor Portátil,Piano Digital Taylor Portátil - Uma seleção de vozes premium e acompanimentos automáticos para inspirar sua criatividade musical.,10190.0,1,teclas
Elétrico Tambor Audio-Technica,Experimente a qualidade do Elétrico Tambor Audio-Technica. Acabamento premium e sonoridade excepcional para todas as aplicações.,1870.0,36,percussão
Profissional Microfone Casio,Desfrute da qualidade de áudio do Profissional Microfone Casio. Design inovador e tecnologia de ponta para resultados superiores.,4489.0,4,áudio
Banjo Taylor Standard,Este Banjo Taylor Standard oferece um timbre excepcional e ótima sustain. Ideal para músicos que buscam qualidade sonora e durabilidade.,3119.0,26,cordas
Mapex Processador de Efeitos Estúdio,Desfrute da qualidade de áudio do Mapex Processador de Efeitos Estúdio. Design inovador e tecnologia de ponta para resultados superiores.,5090.0,11,áudio
Gaita Martin Signature,O Gaita Martin Signature proporciona resposta precisa e entonação perfeita. Construído com materiais de alta qualidade para durabilidade.,2689.0,16,sopro
Profissional Saxofone Fender,O Profissional Saxofone Fender proporciona resposta precisa e entonação perfeita. Construído com materiais de alta qualidade para durabilidade.,3810.0,20,sopro
Nord Compacto Baqueta,"Nord Compacto Baqueta - Acessório essencial para músicos, oferecendo confiabilidade e desempenho superior em todas as situações.",579.0,43,acessórios
Analógico Acordeão Sennheiser,Analógico Acordeão Sennheiser - Uma seleção de vozes premium e acompanimentos automáticos para inspirar sua criatividade musical.,6510.0,0,teclas
Roland Deluxe Processador de Efeitos,"O Roland Deluxe Processador de Efeitos proporciona captação precisa e reprodução fiel. Ideal para gravação, mixagem e masterização.",7040.0,29,áudio
Sanfona Mapex Moderno,Desfrute da versatilidade do Sanfona Mapex Moderno. Interface intuitiva e conectividade completa para integração com DAWs.,12520.0,38,teclas
Taylor Bongô Compacto,Experimente a qualidade do Taylor Bongô Compacto. Acabamento premium e sonoridade excepcional para todas as aplicações.,1319.0,18,percussão
Deluxe Piano Casio,Desfrute da versatilidade do Deluxe Piano Casio. Interface intuitiva e conectividade completa para integração com DAWs.,5689.0,45,teclas
Marimba Sabian Compacto,Experimente a qualidade do Marimba Sabian Compacto. Acabamento premium e sonoridade excepcional para todas as aplicações.,1660.0,4,percussão
Korg Compacto Bongô,O Korg Compacto Bongô oferece projeção poderosa e tons bem definidos. Hardware resistente para performances intensas.,9700.0,16,percussão
Harpa Fender Limited,Este Harpa Fender Limited oferece um timbre excepcional e ótima sustain. Ideal para músicos que buscam qualidade sonora e durabilidade.,4240.0,0,cordas
Custom Caixa de Som Yamaha,Desfrute da qualidade de áudio do Custom Caixa de Som Yamaha. Design inovador e tecnologia de ponta para resultados superiores.,6259.0,44,áudio
Analógico Conga Audio-Technica,O Analógico Conga Audio-Technica oferece projeção poderosa e tons bem definidos. Hardware resistente para performances intensas.,1779.0,7,percussão
Mapex Mixer Deluxe,Mapex Mixer Deluxe - Equipamento de áudio profissional com recursos avançados e construção robusta para uso intensivo.,7339.0,0,áudio
Roland Portátil Guitarra,Experimente a excelência do Roland Portátil Guitarra. Design ergonômico e resposta tonal equilibrada para todos os estilos musicais.,1540.0,47,cordas
Gibson Workstation Signature,Gibson Workstation Signature - Uma seleção de vozes premium e acompanimentos automáticos para inspirar sua criatividade musical.,11459.0,2,teclas
Behringer Violino Compacto,Este Behringer Violino Compacto oferece um timbre excepcional e ótima sustain. Ideal para músicos que buscam qualidade sonora e durabilidade.,1959.0,15,cordas
Teclado Arranger Mapex Ao Vivo,O Teclado Arranger Mapex Ao Vivo conta com sons realistas e recursos avançados para composição e performance. Teclado sensível ao toque.,3259.0,1,teclas
Kawai Pandeiro Vintage,Kawai Pandeiro Vintage - Conjunto de percussão com excelente resposta e durabilidade. Perfect para estúdio e palco.,4240.0,47,percussão
Gibson Acordeão Standard,O Gibson Acordeão Standard conta com sons realistas e recursos avançados para composição e performance. Teclado sensível ao toque.,7360.0,34,teclas
Pearl Pedal Estúdio,Melhore sua experiência musical com o Pearl Pedal Estúdio. Design funcional e materiais premium para resultados profissionais.,760.0,21,acessórios
Sintetizador Fender Deluxe,O Sintetizador Fender Deluxe conta com sons realistas e recursos avançados para composição e performance. Teclado sensível ao toque.,1319.0,27,teclas
Kawai Estúdio Vibrafone,O Kawai Estúdio Vibrafone oferece projeção poderosa e tons bem definidos. Hardware resistente para performances intensas.,1990.0,23,percussão
Digital Ukulele Sabian,Experimente a excelência do Digital Ukulele Sabian. Design ergonômico e resposta tonal equilibrada para todos os estilos musicais.,980.0,1,cordas
Acordeão Roland Premium,O Acordeão Roland Premium conta com sons realistas e recursos avançados para composição e performance. Teclado sensível ao toque.,12310.0,2,teclas
Profissional Conga Ibanez,Experimente a qualidade do Profissional Conga Ibanez. Acabamento premium e sonoridade excepcional para todas as aplicações.,6000.0,0,percussão
Acordeão Behringer Acústico,O Acordeão Behringer Acústico conta com sons realistas e recursos avançados para composição e performance. Teclado sensível ao toque.,1489.0,11,teclas
Fone de Ouvido Martin Digital,"O Fone de Ouvido Martin Digital proporciona captação precisa e reprodução fiel. Ideal para gravação, mixagem e masterização.",7589.0,23,áudio
Baqueta Sabian Practice,"Baqueta Sabian Practice - Acessório essencial para músicos, oferecendo confiabilidade e desempenho superior em todas as situações.",639.0,10,acessórios
Conga Taylor Practice,Experimente a qualidade do Conga Taylor Practice. Acabamento premium e sonoridade excepcional para todas as aplicações.,8749.0,32,percussão
Sennheiser Premium Controladora DJ,"O Sennheiser Premium Controladora DJ proporciona captação precisa e reprodução fiel. Ideal para gravação, mixagem e masterização.",5250.0,13,áudio
Flauta Yamaha Tube,Flauta Yamaha Tube - Instrumento de sopro com afinação precisa e tom rico. Ideal para estudantes e profissionais.,3319.0,40,sopro
Custom Bandolim Shure,Este Custom Bandolim Shure oferece um timbre excepcional e ótima sustain. Ideal para músicos que buscam qualidade sonora e durabilidade.,1449.0,1,cordas
Violão Shure Profissional,Experimente a excelência do Violão Shure Profissional. Design ergonômico e resposta tonal equilibrada para todos os estilos musicais.,4160.0,3,cordas
Taylor Ao Vivo Trombone,Descubra o som característico do Taylor Ao Vivo Trombone. Design ergonômico que facilita a execução e proporciona conforto.,4879.0,35,sopro
Shure Elétrico Trombone,O Shure Elétrico Trombone proporciona resposta precisa e entonação perfeita. Construído com materiais de alta qualidade para durabilidade.,1609.0,27,sopro
Martin Clássico Violão,Experimente a excelência do Martin Clássico Violão. Design ergonômico e resposta tonal equilibrada para todos os estilos musicais.,4630.0,43,cordas
Gravador Nord Standard,Desfrute da qualidade de áudio do Gravador Nord Standard. Design inovador e tecnologia de ponta para resultados superiores.,6460.0,11,áudio
Taylor Profissional Oboé,O Taylor Profissional Oboé proporciona resposta precisa e entonação perfeita. Construído com materiais de alta qualidade para durabilidade.,4279.0,39,sopro
Teclado Arranger Tama Vintage,O Teclado Arranger Tama Vintage conta com sons realistas e recursos avançados para composição e performance. Teclado sensível ao toque.,13239.0,2,teclas
Fender Estúdio Saxofone,Descubra o som característico do Fender Estúdio Saxofone. Design ergonômico que facilita a execução e proporciona conforto.,5929.0,23,sopro
Piano Digital Sabian Moderno,Piano Digital Sabian Moderno - Uma seleção de vozes premium e acompanimentos automáticos para inspirar sua criatividade musical.,13930.0,19,teclas
Clássico Caixa de Som Shure,"O Clássico Caixa de Som Shure proporciona captação precisa e reprodução fiel. Ideal para gravação, mixagem e masterização.",5290.0,20,áudio
Elétrico Violino Audio-Technica,Elétrico Violino Audio-Technica - Perfeito para performances ao vivo e gravações em estúdio. Construção robusta e acabamento impecável.,2719.0,31,cordas
Palheta Martin Ao Vivo,"Palheta Martin Ao Vivo - Acessório essencial para músicos, oferecendo confiabilidade e desempenho superior em todas as situações.",210.0,40,acessórios
Fender Custom Teclado,Fender Custom Teclado - Uma seleção de vozes premium e acompanimentos automáticos para inspirar sua criatividade musical.,12639.0,27,teclas
Ibanez Trombone Standard,Descubra o som característico do Ibanez Trombone Standard. Design ergonômico que facilita a execução e proporciona conforto.,4259.0,31,sopro
Sennheiser Premium Oboé,Descubra o som característico do Sennheiser Premium Oboé. Design ergonômico que facilita a execução e proporciona conforto.,5660.0,0,sopro
Pearl Custom Cavaquinho,Pearl Custom Cavaquinho - Perfeito para performances ao vivo e gravações em estúdio. Construção robusta e acabamento impecável.,2859.0,40,cordas
Ibanez Saxofone Profissional,Descubra o som característico do Ibanez Saxofone Profissional. Design ergonômico que facilita a execução e proporciona conforto.,4000.0,25,sopro
Behringer Clássico Clarinete,O Behringer Clássico Clarinete proporciona resposta precisa e entonação perfeita. Construído com materiais de alta qualidade para durabilidade.,3699.0,42,sopro
Limited Bandolim BOSS,Este Limited Bandolim BOSS oferece um timbre excepcional e ótima sustain. Ideal para músicos que buscam qualidade sonora e durabilidade.,439.0,4,cordas
Flauta Pearl Practice,Descubra o som característico do Flauta Pearl Practice. Design ergonômico que facilita a execução e proporciona conforto.,4169.0,15,sopro
Acordeão Nord Estúdio,Desfrute da versatilidade do Acordeão Nord Estúdio. Interface intuitiva e conectividade completa para integração com DAWs.,5230.0,9,teclas
Casio Standard Cabo,Melhore sua experiência musical com o Casio Standard Cabo. Design funcional e materiais premium para resultados profissionais.,220.0,45,acessórios
Digital Trombone BOSS,Descubra o som característico do Digital Trombone BOSS. Design ergonômico que facilita a execução e proporciona conforto.,7299.0,36,sopro
Portátil Sintetizador Yamaha,O Portátil Sintetizador Yamaha conta com sons realistas e recursos avançados para composição e performance. Teclado sensível ao toque.,10059.0,34,teclas
Kawai Profissional Bateria,Experimente a qualidade do Kawai Profissional Bateria. Acabamento premium e sonoridade excepcional para todas as aplicações.,5569.0,1,percussão
Elétrico Clarinete Yamaha,Descubra o som característico do Elétrico Clarinete Yamaha. Design ergonômico que facilita a execução e proporciona conforto.,6930.0,11,sopro
Sennheiser Custom Trompete,O Sennheiser Custom Trompete proporciona resposta precisa e entonação perfeita. Construído com materiais de alta qualidade para durabilidade.,2890.0,1,sopro
Fagote BOSS Ao Vivo,Descubra o som característico do Fagote BOSS Ao Vivo. Design ergonômico que facilita a execução e proporciona conforto.,3830.0,21,sopro
BOSS Ao Vivo Sintetizador,BOSS Ao Vivo Sintetizador - Uma seleção de vozes premium e acompanimentos automáticos para inspirar sua criatividade musical.,8139.0,35,teclas
Kawai Premium Fagote,Kawai Premium Fagote - Instrumento de sopro com afinação precisa e tom rico. Ideal para estudantes e profissionais.,7909.0,26,sopro
Kawai Deluxe Mixer,Desfrute da qualidade de áudio do Kawai Deluxe Mixer. Design inovador e tecnologia de ponta para resultados superiores.,4389.0,0,áudio
Custom Interface de Áudio Behringer,Desfrute da qualidade de áudio do Custom Interface de Áudio Behringer. Design inovador e tecnologia de ponta para resultados superiores.,6860.0,46,áudio
Kawai Limited Caixa de Som,Desfrute da qualidade de áudio do Kawai Limited Caixa de Som. Design inovador e tecnologia de ponta para resultados superiores.,7780.0,29,áudio
Sabian Afidador Acústico,O Sabian Afidador Acústico é fabricado com materiais de alta qualidade para durabilidade e desempenho excepcional.,570.0,48,acessórios
Pandeiro Sennheiser Digital,Experimente a qualidade do Pandeiro Sennheiser Digital. Acabamento premium e sonoridade excepcional para todas as aplicações.,3039.0,20,percussão
Sennheiser Estúdio Cavaquinho,Este Sennheiser Estúdio Cavaquinho oferece um timbre excepcional e ótima sustain. Ideal para músicos que buscam qualidade sonora e durabilidade.,4109.0,41,cordas
Atabaque BOSS Deluxe,O Atabaque BOSS Deluxe oferece projeção poderosa e tons bem definidos. Hardware resistente para performances intensas.,5429.0,19,percussão
Casio Portátil Gaita,O Casio Portátil Gaita proporciona resposta precisa e entonação perfeita. Construído com materiais de alta qualidade para durabilidade.,5069.0,44,sopro
Taylor Custom Banjo,Este Taylor Custom Banjo oferece um timbre excepcional e ótima sustain. Ideal para músicos que buscam qualidade sonora e durabilidade.,2729.0,31,cordas
Yamaha Custom Cavaquinho,Yamaha Custom Cavaquinho - Perfeito para performances ao vivo e gravações em estúdio. Construção robusta e acabamento impecável.,339.0,8,cordas
Ibanez Premium Harpa,Experimente a excelência do Ibanez Premium Harpa. Design ergonômico e resposta tonal equilibrada para todos os estilos musicais.,959.0,3,cordas
Elétrico Bateria Kawai,O Elétrico Bateria Kawai oferece projeção poderosa e tons bem definidos. Hardware resistente para performances intensas.,7780.0,0,percussão
Gravador Gibson Elétrico,Gravador Gibson Elétrico - Equipamento de áudio profissional com recursos avançados e construção robusta para uso intensivo.,279.0,13,áudio
Fender Guitarra Moderno,Este Fender Guitarra Moderno oferece um timbre excepcional e ótima sustain. Ideal para músicos que buscam qualidade sonora e durabilidade.,3129.0,25,cordas
Behringer Tube Flauta,Behringer Tube Flauta - Instrumento de sopro com afinação precisa e tom rico. Ideal para estudantes e profissionais.,7860.0,16,sopro
Mapex Acordeão Portátil,O Mapex Acordeão Portátil conta com sons realistas e recursos avançados para composição e performance. Teclado sensível ao toque.,9109.0,25,teclas
Teclado Sabian Profissional,Teclado Sabian Profissional - Uma seleção de vozes premium e acompanimentos automáticos para inspirar sua criatividade musical.,13050.0,3,teclas
Workstation Martin Elétrico,Workstation Martin Elétrico - Uma seleção de vozes premium e acompanimentos automáticos para inspirar sua criatividade musical.,12810.0,48,teclas
Shure Standard Palheta,Melhore sua experiência musical com o Shure Standard Palheta. Design funcional e materiais premium para resultados profissionais.,329.0,17,acessórios
Clássico Bandolim Yamaha,Experimente a excelência do Clássico Bandolim Yamaha. Design ergonômico e resposta tonal equilibrada para todos os estilos musicais.,909.0,0,cordas
BOSS Acústico Violoncelo,Experimente a excelência do BOSS Acústico Violoncelo. Design ergonômico e resposta tonal equilibrada para todos os estilos musicais.,1590.0,1,cordas
Deluxe Teclado Fender,Desfrute da versatilidade do Deluxe Teclado Fender. Interface intuitiva e conectividade completa para integração com DAWs.,2049.0,0,teclas
Behringer Portátil Teclado,Behringer Portátil Teclado - Uma seleção de vozes premium e acompanimentos automáticos para inspirar sua criatividade musical.,1700.0,16,teclas
Martin Estúdio Caixa de Som,"O Martin Estúdio Caixa de Som proporciona captação precisa e reprodução fiel. Ideal para gravação, mixagem e masterização.",7800.0,24,áudio
Kawai Banjo Custom,Kawai Banjo Custom - Perfeito para performances ao vivo e gravações em estúdio. Construção robusta e acabamento impecável.,4539.0,37,cordas
Bateria Nord Standard,Experimente a qualidade do Bateria Nord Standard. Acabamento premium e sonoridade excepcional para todas as aplicações.,1620.0,4,percussão
BOSS Premium Piano Digital,BOSS Premium Piano Digital - Uma seleção de vozes premium e acompanimentos automáticos para inspirar sua criatividade musical.,2759.0,0,teclas
Sabian Pandeiro Digital,Experimente a qualidade do Sabian Pandeiro Digital. Acabamento premium e sonoridade excepcional para todas as aplicações.,5370.0,34,percussão
Gibson Acústico Piano,Gibson Acústico Piano - Uma seleção de vozes premium e acompanimentos automáticos para inspirar sua criatividade musical.,4370.0,25,teclas
Fender Tambor Moderno,Fender Tambor Moderno - Conjunto de percussão com excelente resposta e durabilidade. Perfect para estúdio e palco.,3109.0,3,percussão
Vintage Atabaque Kawai,O Vintage Atabaque Kawai oferece projeção poderosa e tons bem definidos. Hardware resistente para performances intensas.,4310.0,32,percussão
Ibanez Violão Clássico,Ibanez Violão Clássico - Perfeito para performances ao vivo e gravações em estúdio. Construção robusta e acabamento impecável.,1609.0,28,cordas
Acústico Saxofone Pearl,O Acústico Saxofone Pearl proporciona resposta precisa e entonação perfeita. Construído com materiais de alta qualidade para durabilidade.,3480.0,48,sopro
Sintetizador Pearl Vintage,Sintetizador Pearl Vintage - Uma seleção de vozes premium e acompanimentos automáticos para inspirar sua criatividade musical.,14140.0,45,teclas
Compacto Sanfona Mapex,Desfrute da versatilidade do Compacto Sanfona Mapex. Interface intuitiva e conectividade completa para integração com DAWs.,950.0,37,teclas
Banjo Kawai Profissional,Banjo Kawai Profissional - Perfeito para performances ao vivo e gravações em estúdio. Construção robusta e acabamento impecável.,2170.0,45,cordas
Marimba Taylor Vintage,O Marimba Taylor Vintage oferece projeção poderosa e tons bem definidos. Hardware resistente para performances intensas.,6989.0,46,percussão
Profissional Bandolim Nord,Experimente a excelência do Profissional Bandolim Nord. Design ergonômico e resposta tonal equilibrada para todos os estilos musicais.,1489.0,12,cordas
Ao Vivo Tambor BOSS,Ao Vivo Tambor BOSS - Conjunto de percussão com excelente resposta e durabilidade. Perfect para estúdio e palco.,3899.0,2,percussão
Korg Violão Tube,Experimente a excelência do Korg Violão Tube. Design ergonômico e resposta tonal equilibrada para todos os estilos musicais.,4440.0,0,cordas
Limited Mixer Nord,"O Limited Mixer Nord proporciona captação precisa e reprodução fiel. Ideal para gravação, mixagem e masterização.",7059.0,40,áudio
Workstation Taylor Estúdio,Desfrute da versatilidade do Workstation Taylor Estúdio. Interface intuitiva e conectividade completa para integração com DAWs.,6720.0,6,teclas
Portátil Violão Taylor,Portátil Violão Taylor - Perfeito para performances ao vivo e gravações em estúdio. Construção robusta e acabamento impecável.,689.0,0,cordas
Custom Amplificador Tama,Custom Amplificador Tama - Equipamento de áudio profissional com recursos avançados e construção robusta para uso intensivo.,7200.0,1,áudio
BOSS Palheta Clássico,"BOSS Palheta Clássico - Acessório essencial para músicos, oferecendo confiabilidade e desempenho superior em todas as situações.",630.0,33,acessórios
Violino Pearl Analógico,Este Violino Pearl Analógico oferece um timbre excepcional e ótima sustain. Ideal para músicos que buscam qualidade sonora e durabilidade.,3099.0,3,cordas
Tambor Mapex Ao Vivo,Tambor Mapex Ao Vivo - Conjunto de percussão com excelente resposta e durabilidade. Perfect para estúdio e palco.,7659.0,31,percussão
Moderno Gaita Taylor,O Moderno Gaita Taylor proporciona resposta precisa e entonação perfeita. Construído com materiais de alta qualidade para durabilidade.,2429.0,44,sopro
Tama Compacto Estante,Melhore sua experiência musical com o Tama Compacto Estante. Design funcional e materiais premium para resultados profissionais.,799.0,34,acessórios
Mapex Premium Workstation,Desfrute da versatilidade do Mapex Premium Workstation. Interface intuitiva e conectividade completa para integração com DAWs.,12499.0,16,teclas
Piano Sennheiser Signature,Desfrute da versatilidade do Piano Sennheiser Signature. Interface intuitiva e conectividade completa para integração com DAWs.,10599.0,30,teclas
Tuba Pearl Signature,Descubra o som característico do Tuba Pearl Signature. Design ergonômico que facilita a execução e proporciona conforto.,4250.0,35,sopro
Casio Harpa Practice,Experimente a excelência do Casio Harpa Practice. Design ergonômico e resposta tonal equilibrada para todos os estilos musicais.,1659.0,3,cordas
Órgão Shure Profissional,Órgão Shure Profissional - Uma seleção de vozes premium e acompanimentos automáticos para inspirar sua criatividade musical.,8560.0,45,teclas
Digital Sintetizador Gibson,Desfrute da versatilidade do Digital Sintetizador Gibson. Interface intuitiva e conectividade completa para integração com DAWs.,14969.0,1,teclas
Pearl Compacto Harpa,Este Pearl Compacto Harpa oferece um timbre excepcional e ótima sustain. Ideal para músicos que buscam qualidade sonora e durabilidade.,3540.0,46,cordas
Martin Custom Afidador,O Martin Custom Afidador é fabricado com materiais de alta qualidade para durabilidade e desempenho excepcional.,29.0,12,acessórios
